Feature,Importance
precipitation,0.29940155879234187
dem,0.2440176146934382
landcover,0.129394572994868
slope,0.12010063870506521
distance_to_settlements,0.08821317019100271
distance_to_roads,0.06728439737170766
twi,0.051588047251576286
